,,CGW,PHO,FIW,TBLU,AWK,XYL,WTRG,VIE.PA,ZEB.TO
cov_daily,CGW,7.184677803801597e-05,8.699148032823275e-05,9.470537949886968e-05,7.19358047582986e-05,5.5263945059786155e-05,0.00011955007242705636,5.299313899055895e-05,5.099499766632843e-05,2.211043835040856e-05
cov_daily,PHO,8.699148032823275e-05,0.00019550940063835763,0.0001778922423240962,0.00010641287224398658,0.0001033921172160865,0.0002652369387678211,9.683256745651702e-05,-3.3720655669518818e-06,-1.231893912379443e-05
cov_daily,FIW,9.470537949886968e-05,0.0001778922423240962,0.0001752581700317218,0.00011293266615445007,9.02103107701927e-05,0.00025664614551540265,8.671217975025672e-05,1.6657294146000776e-05,1.6940718955034437e-05
cov_daily,TBLU,7.19358047582986e-05,0.00010641287224398658,0.00011293266615445007,0.0001056875080061163,4.495832937077183e-05,0.0001373137843889932,4.164035719801628e-05,3.848282759785549e-05,3.616059926476999e-05
cov_daily,AWK,5.5263945059786155e-05,0.0001033921172160865,9.02103107701927e-05,4.495832937077183e-05,0.00017973621462643436,0.000137744846459239,0.00017751333110822931,2.5996166401070765e-05,-3.4721757587017596e-05
cov_daily,XYL,0.00011955007242705636,0.0002652369387678211,0.00025664614551540265,0.0001373137843889932,0.000137744846459239,0.0004660401400044945,0.00013112193338802946,-1.8007070046223872e-05,1.6627903871623115e-05
cov_daily,WTRG,5.299313899055895e-05,9.683256745651702e-05,8.671217975025672e-05,4.164035719801628e-05,0.00017751333110822931,0.00013112193338802946,0.0001868532281758421,7.704216126148971e-06,-2.6142127036956727e-05
cov_daily,VIE.PA,5.099499766632843e-05,-3.3720655669518818e-06,1.6657294146000776e-05,3.848282759785549e-05,2.5996166401070765e-05,-1.8007070046223872e-05,7.704216126148971e-06,0.0001553532316074896,1.6289161676211474e-05
cov_daily,ZEB.TO,2.211043835040856e-05,-1.231893912379443e-05,1.6940718955034437e-05,3.616059926476999e-05,-3.4721757587017596e-05,1.6627903871623115e-05,-2.6142127036956727e-05,1.6289161676211474e-05,0.00017320009928301113
cov_annual,CGW,0.018105388065580024,0.021921853042714653,0.02386575563371516,0.018127822799091246,0.01392651415506611,0.030126618251618203,0.013354271025620855,0.012850739411914764,0.005571830464302957
cov_annual,PHO,0.021921853042714653,0.04926836896086612,0.044828845065672245,0.026816043805484618,0.0260548135384538,0.06683970856949091,0.024401806999042288,-0.0008497605228718742,-0.003104372659196196
cov_annual,FIW,0.02386575563371516,0.044828845065672245,0.04416505884799389,0.028459031870921418,0.02273299831408856,0.06467482866988147,0.021851469297064694,0.004197638124792196,0.004269061176668678
cov_annual,TBLU,0.018127822799091246,0.026816043805484618,0.028459031870921418,0.02663325201754131,0.011329499001434502,0.03460307366602629,0.010493370013900102,0.009697672554659583,0.009112471014722037
cov_annual,AWK,0.01392651415506611,0.0260548135384538,0.02273299831408856,0.011329499001434502,0.04529352608586146,0.03471170130772823,0.044733359439273784,0.006551033933069833,-0.008749882911928434
cov_annual,XYL,0.030126618251618203,0.06683970856949091,0.06467482866988147,0.03460307366602629,0.03471170130772823,0.11744211528113262,0.03304272721378342,-0.004537781651648416,0.004190231775649025
cov_annual,WTRG,0.013354271025620855,0.024401806999042288,0.021851469297064694,0.010493370013900102,0.044733359439273784,0.03304272721378342,0.04708701350031221,0.0019414624637895408,-0.006587816013313095
cov_annual,VIE.PA,0.012850739411914764,-0.0008497605228718742,0.004197638124792196,0.009697672554659583,0.006551033933069833,-0.004537781651648416,0.0019414624637895408,0.03914901436508738,0.004104868742405291
cov_annual,ZEB.TO,0.005571830464302957,-0.003104372659196196,0.004269061176668678,0.009112471014722037,-0.008749882911928434,0.004190231775649025,-0.006587816013313095,0.004104868742405291,0.043646425019318806
corr,CGW,1.0000000000000002,0.7339884916784308,0.8439794338952116,0.8255238579786134,0.4863181073359451,0.6533329066843974,0.4573679140299231,0.4826849767164506,0.1982072956102675
corr,PHO,0.7339884916784308,1.0,0.9610235957566017,0.7402842584030663,0.5515511711395,0.8786957435673185,0.5066258229646747,-0.01934871120584094,-0.06694457959896918
corr,FIW,0.8439794338952116,0.9610235957566017,1.0,0.8297908010411656,0.5082755829859603,0.8980157377505448,0.47917115268351745,0.10094973254715128,0.09723410766622315
corr,TBLU,0.8255238579786134,0.7402842584030663,0.8297908010411656,0.9999999999999999,0.32619743395572337,0.618715000702023,0.296314097946487,0.300327430442189,0.2672696973629128
corr,AWK,0.4863181073359451,0.5515511711395,0.5082755829859603,0.32619743395572337,0.9999999999999999,0.4759330910314982,0.968641062506756,0.15557197562519573,-0.19679308635549578
corr,XYL,0.6533329066843974,0.8786957435673185,0.8980157377505448,0.618715000702023,0.4759330910314982,0.9999999999999999,0.4443379218939169,-0.06692235972376302,0.058526395094833386
corr,WTRG,0.4573679140299231,0.5066258229646747,0.47917115268351745,0.296314097946487,0.968641062506756,0.4443379218939169,1.0,0.045218693378854445,-0.14531704225842762
corr,VIE.PA,0.4826849767164506,-0.01934871120584094,0.10094973254715128,0.300327430442189,0.15557197562519573,-0.06692235972376302,0.045218693378854445,1.0000000000000002,0.09930349176696537
corr,ZEB.TO,0.1982072956102675,-0.06694457959896918,0.09723410766622315,0.2672696973629128,-0.19679308635549578,0.058526395094833386,-0.14531704225842762,0.09930349176696537,0.9999999999999999
